date,open,close,high,low,volume
2023-02-28,288.832,287.998,307.737,284.555,1094751646
2023-03-31,287.704,315.337,315.573,279.787,1545364607
2023-04-28,313.215,316.939,317.027,304.49,993554883
2023-05-31,316.477,341.926,347.762,309.624,1149238349
2023-06-30,341.67,363.48,366.353,340.619,1138190013
2023-07-31,364.12,377.511,381.742,357.567,974887210
2023-08-31,376.163,371.912,377.393,349.007,1202809086
2023-09-29,374.284,353.019,374.707,346.211,960069773
2023-10-31,353.285,345.728,368.263,337.333,1238754201
2023-11-30,346.565,383.131,388.364,346.467,971634719
2023-12-29,382.067,404.537,407.896,377.052,867698363
2024-01-31,400.902,411.896,424.62,390.53,973043588
2024-02-29,413.694,433.658,435.229,412.726,866304358
2024-03-28,434.547,439.188,444.46,427.476,905018584
2024-04-30,440.137,419.979,442.67,408.584,1066580260
2024-05-31,418.554,445.815,455.578,416.062,730606117
2024-06-28,449.633,474.659,482.674,443.036,550602787
2024-07-31,475.581,466.694,498.843,449.931,801615060
2024-08-30,467.378,471.846,481.03,419.516,908585535
2024-09-30,468.804,484.215,489.801,444.027,694845717
2024-10-31,483.848,480.029,497.391,473.63,660234819
2024-11-29,481.666,505.714,511.508,480.43,567729700
2024-12-31,506.974,508.01,534.892,505.268,627461386
2025-01-31,511.061,519.0,530.458,496.553,677103047
2025-02-28,510.236,504.969,537.404,493.8,585211035
2025-03-31,508.298,466.661,509.809,455.127,982343707
2025-04-30,465.049,473.18,477.25,400.452,1366190805
2025-05-30,481.081,516.609,523.944,474.485,993580069
2025-06-30,514.748,549.599,550.755,513.485,925199517
2025-07-31,547.696,562.92,572.504,542.645,921977269
2025-08-29,556.763,568.29,581.162,549.639,964975037
2025-09-30,559.234,598.842,601.336,557.465,1132871944
2025-10-31,595.651,627.469,635.389,587.551,1324908604
2025-11-28,633.494,617.674,634.202,579.262,1227811647
2025-12-31,612.069,613.537,627.609,598.753,1064378944
2026-01-30,619.279,621.087,635.799,606.286,1085285806
2026-02-27,617.921,606.525,629.187,592.593,1306656961
2026-03-31,598.106,577.18,612.518,555.6,1630084200
2026-04-30,581.48,667.74,668.9,571.92,918162973
2026-05-29,669.16,738.31,741.63,668.8,787478763
2026-06-08,737.04,716.07,748.65,704.32,292036596
